mechanism,tau,eta,d,date,alpha,shift,n_exact_donors,miss_rate
B,0.9,0.05,80,2024-06-16,0.10518745733692539,0.13127616975234563,2378,0.09251471825063078
B,0.9,0.05,81,2024-06-17,0.10556172142439385,0.1304644620868727,2586,0.07617942768754833
B,0.9,0.05,82,2024-06-18,0.10675275004001643,0.1277400915856829,2677,0.11019798281658573
B,0.9,0.05,83,2024-06-19,0.10624285089918714,0.1287956545447996,2723,0.12486228424531766
B,0.9,0.05,84,2024-06-20,0.10499973668692125,0.13175773004661806,2986,0.12290689886135298
B,0.9,0.05,85,2024-06-21,0.10385439174385361,0.1354313078077238,3140,0.1519108280254777
B,0.9,0.05,86,2024-06-22,0.10125885034257973,0.14236089697830914,2974,0.13349024882313382
B,0.9,0.05,87,2024-06-23,0.09958433790142303,0.14640379382446694,2527,0.11713494261970717
B,0.9,0.05,88,2024-06-24,0.09872759077043766,0.14944653286457815,2789,0.07959842237361062
B,0.9,0.05,89,2024-06-25,0.09974766965175713,0.14598179900037145,2705,0.14824399260628465
C,0.25,0.05,75,2024-06-11,0.75,0.0,3099,0.7318489835430784
C,0.25,0.05,76,2024-06-12,0.7509075508228461,-0.0005086311226348454,3182,0.7250157133878065
C,0.25,0.05,77,2024-06-13,0.7521567651534558,-0.0014694460032173625,3178,0.685336689741976
C,0.25,0.05,78,2024-06-14,0.755389930666357,-0.003916571473421933,3164,0.7196586599241467
C,0.25,0.05,79,2024-06-15,0.7569069976701496,-0.005025253938023034,2665,0.7711069418386491
C,0.25,0.05,80,2024-06-16,0.7558516505782171,-0.004315702389382614,2378,0.7169890664423886
C,0.25,0.05,81,2024-06-17,0.7575021972560977,-0.005465197406395772,2586,0.7242846094354215
C,0.25,0.05,82,2024-06-18,0.7587879667843266,-0.006480841484155917,2677,0.7650354874859918
C,0.25,0.05,83,2024-06-19,0.758036192410027,-0.005848098964683183,2723,0.7983841351450606
C,0.25,0.05,84,2024-06-20,0.7556169856527739,-0.004060686020312362,2986,0.7967180174146015
C,0.25,0.05,85,2024-06-21,0.7532810847820438,-0.0024652787084239293,3140,0.804140127388535
C,0.25,0.05,86,2024-06-22,0.750574078412617,-0.00024531055928709244,2974,0.7807666442501682
C,0.25,0.05,87,2024-06-23,0.7490357462001086,0.0006061748658544518,2527,0.7744360902255639
C,0.25,0.05,88,2024-06-24,0.7478139416888304,0.0015541542975416258,2789,0.7027608461814271
C,0.25,0.05,89,2024-06-25,0.750175899379759,0.0,2705,0.8
C,0.5,0.05,75,2024-06-11,0.5,0.028947380839977055,3099,0.484027105517909
C,0.5,0.05,76,2024-06-12,0.5007986447241045,0.02816616652933945,3182,0.4679446888749214
C,0.5,0.05,77,2024-06-13,0.5024014102803585,0.02693964130778257,3178,0.40969162995594716
C,0.5,0.05,78,2024-06-14,0.5069168287825611,0.023396645928490358,3164,0.43963337547408343
C,0.5,0.05,79,2024-06-15,0.5099351600088569,0.020994718903645883,2665,0.5125703564727955
C,0.5,0.05,80,2024-06-16,0.509306642185217,0.021477587301042343,2378,0.4520605550883095
C,0.5,0.05,81,2024-06-17,0.5117036144308016,0.019675352052128108,2586,0.4729311678267595
C,0.5,0.05,82,2024-06-18,0.5130570560394636,0.018434825807610106,2677,0.519237952932387
C,0.5,0.05,83,2024-06-19,0.5120951583928443,0.019357519836874688,2723,0.5710613294160852
C,0.5,0.05,84,2024-06-20,0.50854209192204,0.022021236959360636,2986,0.5663094440723375
C,0.5,0.05,85,2024-06-21,0.5052266197184232,0.02472168683392969,3140,0.5824840764331211
C,0.5,0.05,86,2024-06-22,0.5011024158967672,0.02796739098480478,2974,0.5359784801613988
C,0.5,0.05,87,2024-06-23,0.49930349188869727,0.02950074343733264,2527,0.5286901464186783
C,0.5,0.05,88,2024-06-24,0.49786898456776335,0.030664272693281265,2789,0.4653997848691287
C,0.5,0.05,89,2024-06-25,0.4995989953243069,0.029182673063541255,2705,0.5792975970425138
C,0.75,0.05,75,2024-06-11,0.25,0.0893685390302017,3099,0.2355598580187157
C,0.75,0.05,76,2024-06-12,0.2507220070990642,0.08842205628184731,3182,0.2083595223130107
C,0.75,0.05,77,2024-06-13,0.2528040309834137,0.08557332389738484,3178,0.17463813719320329
C,0.75,0.05,78,2024-06-14,0.2565721241237535,0.08089947526744443,3164,0.20006321112515804
C,0.75,0.05,79,2024-06-15,0.2590689635674956,0.07790008548798256,2665,0.2551594746716698
C,0.75,0.05,80,2024-06-16,0.2588109898339121,0.0782559396865684,2378,0.21362489486963834
C,0.75,0.05,81,2024-06-17,0.2606297450904302,0.07601868454134801,2586,0.21964423820572312
C,0.75,0.05,82,2024-06-18,0.26214753318014405,0.07465323710951183,2677,0.26596936869630183
C,0.75,0.05,83,2024-06-19,0.261349064745329,0.07538558522114014,2723,0.3176643408005876
C,0.75,0.05,84,2024-06-20,0.2579658477052996,0.0791756239291262,2986,0.30274614869390487
C,0.75,0.05,85,2024-06-21,0.25532854027060436,0.08255953191836515,3140,0.31751592356687897
C,0.75,0.05,86,2024-06-22,0.25195274409226043,0.08654090234169429,2974,0.2874915938130464
C,0.75,0.05,87,2024-06-23,0.2500781644016081,0.08929910733977409,2527,0.28333992876929165
C,0.75,0.05,88,2024-06-24,0.24841116796314355,0.09150197674911456,2789,0.2219433488705629
C,0.75,0.05,89,2024-06-25,0.24981400051961541,0.08974540147449414,2705,0.3301293900184843
C,0.9,0.05,75,2024-06-11,0.09999999999999998,0.16327638970014946,3099,0.09035172636334302
C,0.9,0.05,76,2024-06-12,0.10048241368183283,0.16164722614419313,3182,0.0666247642991829
C,0.9,0.05,77,2024-06-13,0.10215117546687369,0.15689388199100535,3178,0.05475141598489616
C,0.9,0.05,78,2024-06-14,0.10441360466762888,0.1514215878443494,3164,0.06984829329962074
C,0.9,0.05,79,2024-06-15,0.10592119000264784,0.14693755843899423,2665,0.10956848030018762
C,0.9,0.05,80,2024-06-16,0.10544276598763845,0.14821519727640903,2378,0.09671993271656855
C,0.9,0.05,81,2024-06-17,0.10560676935181003,0.14779060797207386,2586,0.07424593967517401
C,0.9,0.05,82,2024-06-18,0.10689447236805133,0.1437413003997242,2677,0.11019798281658573
C,0.9,0.05,83,2024-06-19,0.10638457322722204,0.14540385407912973,2723,0.12926918839515242
C,0.9,0.05,84,2024-06-20,0.10492111380746443,0.14978471843609317,2986,0.12056262558606833
C,0.9,0.05,85,2024-06-21,0.10389298252816101,0.1523722482562865,3140,0.14681528662420382
C,0.9,0.05,86,2024-06-22,0.10155221819695082,0.15860283840488698,2974,0.13685272360457296
C,0.9,0.05,87,2024-06-23,0.09970958201672217,0.16377170768926033,2527,0.12346656113969133
C,0.9,0.05,88,2024-06-24,0.0985362539597376,0.1667780622285078,2789,0.0853352456077447
C,0.9,0.05,89,2024-06-25,0.09926949167935037,0.16493184930174465,2705,0.1430683918669131
