scenario,beta,policy,train_mech,test_hist,population,unsupported order share,pool fallback share,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
equal costs,0.5,Kaplan-Meier order percentile,C,B,full sample,0.18119277166803938,1.0,16901,0.8271328591914154,0.30000001937150955,3933.8000045642257,10045.572448629886,0.760149038218609,0.4462162234509903,0.5901425951127153,1.332038974440681,0.6000000238418579
equal costs,0.5,Kaplan-Meier order percentile,C,C,full sample,0.18119277166803938,1.0,16901,0.8271328591914154,0.30000001937150955,3933.8000045642257,10045.572448629886,0.760149038218609,0.4462162234509903,0.5901425951127153,1.332038974440681,0.6000000238418579
equal costs,0.5,TFT (direct) + residual quantile,A,A,deep subsample,0.0,0.6533864541832669,2510,0.4948543506596549,0.2909880802035332,831.239390000701,410.8450301550329,0.693951717659255,0.17896709110113426,0.4589641434262948,0.9145998738602219,0.6244141161441803
equal costs,0.5,TFT (direct) + residual quantile,A,B,deep subsample,0.0,0.6533864541832669,2510,0.4948543816790044,0.2909880802035332,831.239592269063,410.84490574523807,0.6939516431874656,0.17896706237493962,0.4589641434262948,0.9145997437095619,0.6244139969348907
equal costs,0.5,TFT (direct) + residual quantile,A,C,deep subsample,0.0,0.6533864541832669,2510,0.4948544612636723,0.2909879609942436,831.2403937354684,410.84430403634906,0.6939513481010926,0.17896690965668902,0.4589641434262948,0.91459918467558,0.624413937330246
equal costs,0.5,TFT (direct) + residual quantile,B,A,deep subsample,0.0,0.6533864541832669,2510,0.5096606377601267,0.3059571273624897,847.2427594475448,432.0054413303733,0.688059547738305,0.18776292144224677,0.4553784860557769,0.9166544721584278,0.6620176136493683
equal costs,0.5,TFT (direct) + residual quantile,B,B,deep subsample,0.0,0.6533864541832669,2510,0.5096606400220162,0.3059571273624897,847.2427650056779,432.0054414495826,0.6880595456918944,0.1877629219379162,0.4553784860557769,0.9166544699915258,0.6620176136493683
equal costs,0.5,TFT (direct) + residual quantile,B,C,deep subsample,0.0,0.6533864541832669,2510,0.5096606456559611,0.30595703795552254,847.2427800111473,432.0054405853152,0.6880595401671344,0.18776292285736954,0.4553784860557769,0.9166544636689216,0.6620176136493683
equal costs,0.5,TFT (direct) + residual quantile,C,A,deep subsample,0.0,0.6533864541832669,2510,0.4951845489034199,0.2919338792562485,840.8307952042669,402.0824225433171,0.6904203245093431,0.17656167092640912,0.45657370517928286,0.9072875181569224,0.6144777238368988
equal costs,0.5,TFT (direct) + residual quantile,C,B,deep subsample,0.0,0.6533864541832669,2510,0.49518458349667344,0.29193393886089325,840.8309370037168,402.08236757293344,0.6904202723011843,0.17656166204376356,0.45657370517928286,0.9072874397625664,0.6144779622554779
equal costs,0.5,TFT (direct) + residual quantile,C,C,deep subsample,0.0,0.6533864541832669,2510,0.49518458019214795,0.2919338047504425,840.8312690965831,402.0820271857083,0.6904201500302085,0.17656156471187148,0.45657370517928286,0.9072871718422113,0.6144786775112152
equal costs,0.5,TimesNet->TFT + residual quantile,A,A,deep subsample,0.0,0.6533864541832669,2510,0.4686922379023585,0.28997738659381866,793.1797206383198,383.2377964965999,0.707964644109725,0.1661845145805469,0.45219123505976094,0.918764190873747,0.6369640827178955
equal costs,0.5,TimesNet->TFT + residual quantile,A,B,deep subsample,0.0,0.6533864541832669,2510,0.46869221572426567,0.2899773567914963,793.179592275992,383.2378691919148,0.7079646913705628,0.1661845316147938,0.45219123505976094,0.9187642709763936,0.6369640827178955
equal costs,0.5,TimesNet->TFT + residual quantile,A,C,deep subsample,0.0,0.6533864541832669,2510,0.46869229193353856,0.2899773567914963,793.1794728422537,383.238179910928,0.7079647353440449,0.1661846353546183,0.45219123505976094,0.9187644423519918,0.6369639933109283
equal costs,0.5,TimesNet->TFT + residual quantile,B,A,deep subsample,0.0,0.6533864541832669,2510,0.468712592257773,0.28530895337462425,789.0795260053128,387.3890805616975,0.7094742664156333,0.16738572293979156,0.44900398406374503,0.9220516325861394,0.6206353008747101
equal costs,0.5,TimesNet->TFT + residual quantile,B,B,deep subsample,0.0,0.6533864541832669,2510,0.4687120387219338,0.28530895337462425,789.0773828029633,387.38983438909054,0.7094750555064844,0.1673858391303787,0.44900398406374503,0.9220527867812559,0.6206405460834503
equal costs,0.5,TimesNet->TFT + residual quantile,B,C,deep subsample,0.0,0.6533864541832669,2510,0.4687114961200442,0.285309549421072,789.0717867445201,387.39406851679087,0.7094771158805415,0.16738695766472222,0.44900398406374503,0.922056703190078,0.6206432580947876
equal costs,0.5,TimesNet->TFT + residual quantile,C,A,deep subsample,0.0,0.6533864541832669,2510,0.4696225039467987,0.2958524040877819,796.431685667485,382.3207992389798,0.7067673255954914,0.16608712657752203,0.450597609561753,0.9171032497236334,0.6400119662284851
